  
  
  Y = 0.500E+0001     
  Z = -.500E+0000     
  Solids phase =  1
  Time average of Theta_m  from Time = 0.1000E+0003 to 0.2000E+0003 
  Time = 0.2000E+0003     
       X             Theta_m 
  -.250E+0000  0.3444E+0002
  0.250E+0000  0.4298E+0002
  0.750E+0000  0.2433E+0002
  0.125E+0001  0.2307E+0002
  0.175E+0001  0.1935E+0002
  0.225E+0001  0.1578E+0002
  0.275E+0001  0.1228E+0002
  0.325E+0001  0.9189E+0001
  0.375E+0001  0.5628E+0001
  0.425E+0001  0.4295E+0001
  0.475E+0001  0.4513E+0000
  0.525E+0001  0.4513E+0000
  0.575E+0001  0.4295E+0001
  0.625E+0001  0.5628E+0001
  0.675E+0001  0.9189E+0001
  0.725E+0001  0.1228E+0002
  0.775E+0001  0.1578E+0002
  0.825E+0001  0.1935E+0002
  0.875E+0001  0.2307E+0002
  0.925E+0001  0.2433E+0002
  0.975E+0001  0.4298E+0002
  0.102E+0002  0.3444E+0002
