  
  
  Y = 0.500E+0001     
  Z = -.500E+0000     
  Time average of E_Turb_G from Time = 0.1000E+0003 to 0.2000E+0003 
  Time = 0.2000E+0003     
       X             E_Turb_G
  -.250E+0000  0.1477E+0006
  0.250E+0000  0.1477E+0006
  0.750E+0000  0.2145E+0004
  0.125E+0001  0.7076E+0003
  0.175E+0001  0.5513E+0003
  0.225E+0001  0.4238E+0003
  0.275E+0001  0.3069E+0003
  0.325E+0001  0.2116E+0003
  0.375E+0001  0.1134E+0003
  0.425E+0001  0.7966E+0002
  0.475E+0001  0.6091E+0001
  0.525E+0001  0.6091E+0001
  0.575E+0001  0.7966E+0002
  0.625E+0001  0.1134E+0003
  0.675E+0001  0.2116E+0003
  0.725E+0001  0.3069E+0003
  0.775E+0001  0.4238E+0003
  0.825E+0001  0.5513E+0003
  0.875E+0001  0.7076E+0003
  0.925E+0001  0.2145E+0004
  0.975E+0001  0.1477E+0006
  0.102E+0002  0.1477E+0006
